evenement,lieu,moment,individus,texte
menaces verbales en pleine rue,basilique Sainte-Marie,le 6 septembre à 11h58,Alice Barbier,"Un événement troublant a eu lieu. La scène s’est produite à basilique Sainte-Marie. Le moment exact reste flou, mais cela remonterait à le 6 septembre à 11h58. Alice Barbier aurait été directement concerné."
émanation d'une odeur chimique,"96 boulevard Lavoisier, Argentan",le 20/08/2015 à 03h39,"un habitant, un ami","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 96 boulevard Lavoisier, Argentan. Les faits datent de le 20/08/2015 à 03h39, d'après certaines sources. La présence de un habitant, un ami est signalée sur les lieux."
claquage musculaire en montant les escaliers,Val-d'Oise,04/2014,"Mathis, un agent immobilier","Un fait divers a marqué les esprits. Val-d'Oise serait le le point de départ de l'incident. On évoque 04/2014 comme repère temporel. Mathis, un agent immobilier a été identifié comme partie prenante."
effet de vibration localisée sur une dalle,Guyane,0h et 4 minutes,"une personne, un passant, un inconnu","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Guyane. La période de 0h et 4 minutes est mentionnée. Des témoignages font état de une personne, un passant, un inconnu."
chute d’échafaudage léger,impasse des Tilleuls,14h et 23 minutes,"Sophie, Lucas, une connaissance, Emma Marchand","Un événement troublant a eu lieu. C’est dans les environs de impasse des Tilleuls que les faits se sont produits. 14h et 23 minutes correspondrait à la période des faits. Sophie, Lucas, une connaissance, Emma Marchand semble impliqué d’une manière ou d’une autre."
tentative d’homicide,"chemin des Chênes, Figeac",décembre,"un passant, un agent immobilier, le neveu, un passant","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent chemin des Chênes, Figeac comme contexte géographique. Le déroulement aurait eu lieu à décembre. La situation aurait impliqué un passant, un agent immobilier, le neveu, un passant."
incompréhension suivie d’une altercation,,le 1/09/2016 à 12h00,un chauffeur de taxi,"Un fait divers a marqué les esprits. Ce moment précis : le 1/09/2016 à 12h00, revient souvent. un chauffeur de taxi figure dans les rapports initiaux."
haussement de ton entre clients,Vierzon,vendredi,,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Vierzon. vendredi : c’est ce qu’indiquent plusieurs témoignages.
insultes à caractère raciste,arc de triomphe régional,,"Alice Fontaine, un agent immobilier, Claire Muller","Un événement troublant a eu lieu. La scène s’est produite à arc de triomphe régional. Alice Fontaine, un agent immobilier, Claire Muller aurait été directement concerné."
effet de vibration localisée sur une dalle,impasse de la Paix,,"un médecin, Camille, Antoine Lemoine, un inconnu, le neveu","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de impasse de la Paix. La présence de un médecin, Camille, Antoine Lemoine, un inconnu, le neveu est signalée sur les lieux."
vol de vélo avec agression,"118 rue Victor Hugo, Foix",2017/03/1,,"Une disparition suspecte de biens a été signalée. 118 rue Victor Hugo, Foix serait le le point de départ de l'incident. On évoque 2017/03/1 comme repère temporel."
détection d’un mouvement inhabituel,21719,le 11 juillet à 00h57,une juge,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 21719. La période de le 11 juillet à 00h57 est mentionnée. Des témoignages font état de une juge.
impact de balle de sport sur visage,"91 impasse Gambetta, Chinon",le soir,,"Un événement troublant a eu lieu. C’est dans les environs de 91 impasse Gambetta, Chinon que les faits se sont produits. le soir correspondrait à la période des faits."
invasion d’un stade sans autorisation,13689,2 janvier de l’année 2015,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 13689 comme contexte géographique. Le déroulement aurait eu lieu à 2 janvier de l’année 2015.
vandalisme sur lieu de culte,"184 avenue des Acacias, Argentan",novembre 2016,,"Un fait divers a marqué les esprits. Les informations pointent vers 184 avenue des Acacias, Argentan. Ce moment précis : novembre 2016, revient souvent."
intimidation dans un parking souterrain,"16 impasse des Chênes, Pontarlier",1h et 16 minutes,un visiteur,"Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 16 impasse des Chênes, Pontarlier. 1h et 16 minutes : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un visiteur est évoquée."
tentative d’intimidation de témoin,la salle de bain,janvier 2017,,"Un événement troublant a eu lieu. La scène s’est produite à la salle de bain. Le moment exact reste flou, mais cela remonterait à janvier 2017."
cambriolage en réunion,"71 rue de la République, Autun",,"Alice Renard, Garnier, un passant, un inconnu, un employé de mairie","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 71 rue de la République, Autun. La présence de Alice Renard, Garnier, un passant, un inconnu, un employé de mairie est signalée sur les lieux."
activation d’un moteur sans ordre émis,Franche-Comté,le 6/04/2024 à 18h46,le colocataire,Un fait divers a marqué les esprits. Franche-Comté serait le le point de départ de l'incident. On évoque le 6/04/2024 à 18h46 comme repère temporel. le colocataire a été identifié comme partie prenante.
odeur de solvants émanant d’un conduit obstrué,Meurthe-et-Moselle,2025/12/16,"un homme, la cousine","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Meurthe-et-Moselle. La période de 2025/12/16 est mentionnée. Des témoignages font état de un homme, la cousine."
insultes mutuelles dans une laverie,"81 boulevard des Tilleuls, Millau",mardi 20 mai 2025,un suspect,"Un événement troublant a eu lieu. C’est dans les environs de 81 boulevard des Tilleuls, Millau que les faits se sont produits. mardi 20 mai 2025 correspondrait à la période des faits. un suspect semble impliqué d’une manière ou d’une autre."
variation de pression dans une conduite inactive,"école communale, Saint-Paul",9h1,Moreau,"Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent école communale, Saint-Paul comme contexte géographique. Le déroulement aurait eu lieu à 9h1. La situation aurait impliqué Moreau."
éclairage coupé dans un tunnel,Mayotte,2h et 23 minutes,"un ingénieur, un inconnu, un policier, un policier, le colocataire","Un fait divers a marqué les esprits. Les informations pointent vers Mayotte. Ce moment précis : 2h et 23 minutes, revient souvent. un ingénieur, un inconnu, un policier, un policier, le colocataire figure dans les rapports initiaux."
chute d’une planche de bois,Champagne-Ardenne,3 novembre,"Claire, Nathan Perrin, Léa","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Champagne-Ardenne. 3 novembre : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Claire, Nathan Perrin, Léa est évoquée."
agression d’un adolescent en sortie scolaire,fort Vauban,5 nov. 2002,,"Un événement troublant a eu lieu. La scène s’est produite à fort Vauban. Le moment exact reste flou, mais cela remonterait à 5 nov. 2002."
injures sexistes répétées,avenue Paul Bert,le 15/02/2024 à 20h36,"Camille Adam, le colocataire, Barbier","Une dispute verbale a troublé l’atmosphère. On localise les faits dans la zone de avenue Paul Bert. Les faits datent de le 15/02/2024 à 20h36, d'après certaines sources. La présence de Camille Adam, le colocataire, Barbier est signalée sur les lieux."
blessure à la tête dans un local exigu,Beaune,2016/04/29,"un menuisier, un chauffeur de taxi","Un fait divers a marqué les esprits. Beaune serait le le point de départ de l'incident. On évoque 2016/04/29 comme repère temporel. un menuisier, un chauffeur de taxi a été identifié comme partie prenante."
tensions au sein d’une réunion d’association,82016,15 août de l’année 2021,,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 82016. La période de 15 août de l’année 2021 est mentionnée.
conflit autour d’un colis mal distribué,"183 avenue des Tilleuls, Barentin",décembre,"une technicienne, quelqu’un","Un événement troublant a eu lieu. C’est dans les environs de 183 avenue des Tilleuls, Barentin que les faits se sont produits. décembre correspondrait à la période des faits. une technicienne, quelqu’un semble impliqué d’une manière ou d’une autre."
cris entendus lors d’un déménagement,Maine-et-Loire,décembre,"Marie Renard, un complice, Camille Lemoine","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Maine-et-Loire comme contexte géographique. Le déroulement aurait eu lieu à décembre. La situation aurait impliqué Marie Renard, un complice, Camille Lemoine."
usage frauduleux de badge d’accès,86344,16h52,une juge,"Un fait divers a marqué les esprits. Les informations pointent vers 86344. Ce moment précis : 16h52, revient souvent. une juge figure dans les rapports initiaux."
dépôt de colis incendiaire,Franche-Comté,,"le neveu, une juge","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Franche-Comté. Une implication possible de le neveu, une juge est évoquée."
altercation verbale dans un hall d’immeuble,boulevard Gambetta,lundi,"un ingénieur, un inconnu, un jeune homme","Un événement troublant a eu lieu. La scène s’est produite à boulevard Gambetta. Le moment exact reste flou, mais cela remonterait à lundi. un ingénieur, un inconnu, un jeune homme aurait été directement concerné."
mouvement d’un objet sans cause mécanique,Lourdes,31/07/2006,un tiers,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Lourdes. Les faits datent de 31/07/2006, d'après certaines sources. La présence de un tiers est signalée sur les lieux."
découverte d'un objet abandonné,Nevers,11/2010,,Un fait divers a marqué les esprits. Nevers serait le le point de départ de l'incident. On évoque 11/2010 comme repère temporel.
carambolage sur route,Briançon,5h21,"une amie, un inconnu","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Briançon. La période de 5h21 est mentionnée. Des témoignages font état de une amie, un inconnu."
déclenchement d'une alarme incendie,Nyons,,,Une arme aurait été entrevue brièvement. C’est dans les environs de Nyons que les faits se sont produits.
absence de réponse d’un bouton à pression,28631,à minuit,"un ingénieur, le neveu, Claire, Sophie, Marchand","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 28631 comme contexte géographique. Le déroulement aurait eu lieu à à minuit. La situation aurait impliqué un ingénieur, le neveu, Claire, Sophie, Marchand."
